s (1,1) 1
s (2,1) 1
s (3,1) 4
s (4,1) 1
s (5,1) 4
(1,1) (1,2) 1
(2,1) (2,2) 2
(3,1) (3,2) 1
(4,1) (4,2) 1
(5,1) (5,2) 5
(1,2) (1,3) 5
(2,2) (2,3) 2
(3,2) (3,3) 1
(4,2) (4,3) 4
(5,2) (5,3) 4
(1,3) (1,4) 5
(2,3) (2,4) 2
(3,3) (3,4) 3
(4,3) (4,4) 5
(5,3) (5,4) 3
(1,4) (1,5) 5
(2,4) (2,5) 2
(3,4) (3,5) 3
(4,4) (4,5) 5
(5,4) (5,5) 5
(1,5) (1,6) 4
(2,5) (2,6) 4
(3,5) (3,6) 5
(4,5) (4,6) 1
(5,5) (5,6) 1
(1,6) (1,7) 3
(2,6) (2,7) 4
(3,6) (3,7) 1
(4,6) (4,7) 1
(5,6) (5,7) 2
(1,7) (1,8) 2
(2,7) (2,8) 4
(3,7) (3,8) 4
(4,7) (4,8) 1
(5,7) (5,8) 1
(1,8) (1,9) 5
(2,8) (2,9) 2
(3,8) (3,9) 1
(4,8) (4,9) 5
(5,8) (5,9) 2
(1,9) (1,10) 2
(2,9) (2,10) 2
(3,9) (3,10) 4
(4,9) (4,10) 1
(5,9) (5,10) 2
(1,10) (1,11) 4
(2,10) (2,11) 1
(3,10) (3,11) 2
(4,10) (4,11) 2
(5,10) (5,11) 2
(1,11) (1,12) 5
(2,11) (2,12) 1
(3,11) (3,12) 3
(4,11) (4,12) 3
(5,11) (5,12) 5
(1,12) (1,13) 3
(2,12) (2,13) 5
(3,12) (3,13) 5
(4,12) (4,13) 5
(5,12) (5,13) 1
(1,13) (1,14) 1
(2,13) (2,14) 5
(3,13) (3,14) 4
(4,13) (4,14) 2
(5,13) (5,14) 1
(1,14) (1,15) 1
(2,14) (2,15) 1
(3,14) (3,15) 2
(4,14) (4,15) 2
(5,14) (5,15) 1
(1,15) (1,16) 2
(2,15) (2,16) 3
(3,15) (3,16) 5
(4,15) (4,16) 5
(5,15) (5,16) 1
(1,16) (1,17) 5
(2,16) (2,17) 4
