s (1,1) 5
s (2,1) 5
s (3,1) 5
s (4,1) 5
s (5,1) 5
(1,1) (1,2) 5
(2,1) (2,2) 5
(3,1) (3,2) 5
(4,1) (4,2) 5
(5,1) (5,2) 5
(1,2) (1,3) 5
(2,2) (2,3) 5
(3,2) (3,3) 5
(4,2) (4,3) 5
(5,2) (5,3) 5
(1,3) (1,4) 5
(2,3) (2,4) 5
(3,3) (3,4) 5
(4,3) (4,4) 5
(5,3) (5,4) 5
(1,4) (1,5) 5
(2,4) (2,5) 5
(3,4) (3,5) 5
(4,4) (4,5) 5
(5,4) (5,5) 5
(1,5) (1,6) 5
(2,5) (2,6) 5
(3,5) (3,6) 5
(4,5) (4,6) 5
(5,5) (5,6) 5
(1,6) (1,7) 5
(2,6) (2,7) 5
(3,6) (3,7) 5
(4,6) (4,7) 5
(5,6) (5,7) 5
(1,7) (1,8) 5
(2,7) (2,8) 5
(3,7) (3,8) 5
(4,7) (4,8) 5
(5,7) (5,8) 5
(1,8) (1,9) 5
(2,8) (2,9) 5
(3,8) (3,9) 5
(4,8) (4,9) 5
(5,8) (5,9) 5
(1,9) (1,10) 5
(2,9) (2,10) 5
(3,9) (3,10) 5
(4,9) (4,10) 5
(5,9) (5,10) 5
(1,10) (1,11) 5
(2,10) (2,11) 5
(3,10) (3,11) 5
(4,10) (4,11) 5
(5,10) (5,11) 5
(1,11) (1,12) 5
(2,11) (2,12) 5
(3,11) (3,12) 5
(4,11) (4,12) 5
(5,11) (5,12) 5
(1,12) (1,13) 5
(2,12) (2,13) 5
(3,12) (3,13) 5
(4,12) (4,13) 5
(5,12) (5,13) 5
(1,13) (1,14) 5
(2,13) (2,14) 5
(3,13) (3,14) 5
(4,13) (4,14) 5
(5,13) (5,14) 5
(1,14) (1,15) 5
(2,14) (2,15) 5
(3,14) (3,15) 5
(4,14) (4,15) 5
(5,14) (5,15) 5
(1,15) (1,16) 5
(2,15) (2,16) 5
(3,15) (3,16) 5
(4,15) (4,16) 5
(5,15) (5,16) 5
(1,16) (1,17) 5
(2,16) (2,17) 5
(3,16) (3,17) 5
(4,16) (4,17) 5
(5,16) (5,17) 5
(1,17) (1,18) 5
(2,17) (2,18) 5
(3,17) (3,18) 5
(4,17) (4,18) 5
(5,17) (5,18) 5
(1,18) (1,19) 5
(2,18) (2,19) 5
(3,18) (3,19) 5
(4,18) (4,19) 5
(5,18) (5,19) 5
(1,19) (1,20) 5
(2,19) (2,20) 5
(3,19) (3,20) 5
(4,19) (4,20) 5
(5,19) (5,20) 5
(1,20) (1,21) 5
(2,20) (2,21) 5
(3,20) (3,21) 5
(4,20) (4,21) 5
(5,20) (5,21) 5
(1,21) (1,22) 5
(2,21) (2,22) 5
(3,21) (3,22) 5
(4,21) (4,22) 5
(5,21) (5,22) 5
(1,22) (1,23) 5
(2,22) (2,23) 5
(3,22) (3,23) 5
(4,22) (4,23) 5
(5,22) (5,23) 5
(1,23) (1,24) 5
(2,23) (2,24) 5
(3,23) (3,24) 5
(4,23) (4,24) 5
(5,23) (5,24) 5
(1,24) (1,25) 5
(2,24) (2,25) 5
(3,24) (3,25) 5
(4,24) (4,25) 5
(5,24) (5,25) 5
(1,25) (1,26) 5
(2,25) (2,26) 5
(3,25) (3,26) 5
(4,25) (4,26) 5
(5,25) (5,26) 5
(1,26) (1,27) 5
(2,26) (2,27) 5
(3,26) (3,27) 5
(4,26) (4,27) 5
(5,26) (5,27) 5
(1,27) (1,28) 5
(2,27) (2,28) 5
